trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
87,False,"{'a': 0.9, 'e': 0.7389999999999998}",20,6,-8.376463269270436,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.9, 'e': 0.7359999999999998}",20,0,-116.9768699642601,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
89,False,"{'a': 0.9, 'e': 0.7329999999999998}",25,0,-123.85148752253836,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
90,False,"{'a': 0.9, 'e': 0.7299999999999998}",20,8,-55.42116884430392,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
91,False,"{'a': 0.9, 'e': 0.7269999999999998}",20,0,-84.55929822846362,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
92,False,"{'a': 0.9, 'e': 0.7239999999999998}",20,0,-46.85840029500972,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
93,False,"{'a': 0.9, 'e': 0.7209999999999998}",25,0,-117.0063514666441,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
94,False,"{'a': 0.9, 'e': 0.7179999999999997}",20,0,-65.20292065233828,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
95,False,"{'a': 0.9, 'e': 0.7149999999999997}",20,0,-29.527993733910314,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
96,False,"{'a': 0.9, 'e': 0.7119999999999997}",25,0,-8.592810683845254,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
97,False,"{'a': 0.9, 'e': 0.7089999999999997}",25,0,-136.14845606768674,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
98,False,"{'a': 0.9, 'e': 0.7059999999999997}",20,0,-127.24458483207978,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
99,False,"{'a': 0.9, 'e': 0.7029999999999997}",30,0,-0.6578196271865857,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
100,False,"{'a': 0.9, 'e': 0.6999999999999997}",20,0,-139.2075543825247,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
101,False,"{'a': 0.9, 'e': 0.6969999999999997}",25,15,19.375586196501118,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.9, 'e': 0.6939999999999997}",20,3,4.722560366016501,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.9, 'e': 0.6909999999999997}",20,0,-141.7492404100349,"{0: 8, 1: 5, 2: 4, 3: 2, 4: 1}",0
104,False,"{'a': 0.9, 'e': 0.6879999999999997}",35,2,-166.43837712226036,"{0: 23, 1: 2, 2: 3, 3: 2, 4: 3}",1
105,False,"{'a': 0.9, 'e': 0.6849999999999997}",30,0,-76.37064961028305,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",1
106,False,"{'a': 0.9, 'e': 0.6819999999999997}",25,3,-59.52549909868977,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 2}",1
107,False,"{'a': 0.9, 'e': 0.6789999999999997}",20,15,10.4864862473369,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.9, 'e': 0.6759999999999997}",35,0,-122.44673408027474,"{0: 21, 1: 5, 2: 7, 3: 1, 4: 1}",0
109,False,"{'a': 0.9, 'e': 0.6729999999999997}",20,0,-60.44633503072371,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
110,False,"{'a': 0.9, 'e': 0.6699999999999997}",30,21,-40.09985709181806,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
111,False,"{'a': 0.9, 'e': 0.6669999999999997}",20,12,-81.38601192927455,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 2}",1
112,False,"{'a': 0.9, 'e': 0.6639999999999997}",20,0,-87.51050491532006,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
113,False,"{'a': 0.9, 'e': 0.6609999999999997}",20,8,-6.206154438653494,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.9, 'e': 0.6579999999999997}",20,0,-46.25306296103874,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
115,False,"{'a': 0.9, 'e': 0.6549999999999997}",25,7,-51.574570064706705,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
116,False,"{'a': 0.9, 'e': 0.6519999999999997}",25,0,-69.20429805356424,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
117,False,"{'a': 0.9, 'e': 0.6489999999999997}",20,10,-38.51070755193243,"{0: 5, 1: 0, 2: 5, 3: 0, 4: 0}",1
118,False,"{'a': 0.9, 'e': 0.6459999999999997}",30,17,-37.50933378838037,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 0}",1
119,False,"{'a': 0.9, 'e': 0.6429999999999997}",25,0,-96.03837117497716,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
120,False,"{'a': 0.9, 'e': 0.6399999999999997}",20,0,-26.890915529359756,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
